# G-mag  NO.all  NO.cln  X0  rate
17.50    384    279   3.45  0.27
17.75    485    364   3.52  0.25
18.00    597    462   3.58  0.23
18.25    745    600   3.64  0.19
18.50    924    760   3.70  0.18
18.75   1086    906   3.74  0.17
19.00   1271   1078   3.78  0.15
19.25   1460   1248   3.82  0.15
19.50   1646   1415   3.85  0.14
19.75   1815   1571   3.87  0.13
20.00   1966   1714   3.89  0.13
20.25   2106   1844   3.91  0.12
20.50   2216   1952   3.93  0.12
20.75   2302   2030   3.93  0.12
21.00   2327   2053   3.94  0.12
