# G-mag  NO.all  NO.cln  X0  rate
17.50    129     85   3.12  0.34
17.75    165    114   3.20  0.31
18.00    202    148   3.26  0.27
18.25    247    186   3.32  0.25
18.50    289    221   3.37  0.24
18.75    333    260   3.41  0.22
19.00    372    297   3.44  0.20
19.25    426    350   3.48  0.18
19.50    473    397   3.51  0.16
19.75    508    429   3.53  0.16
20.00    541    457   3.55  0.16
20.25    566    480   3.56  0.15
20.50    579    493   3.57  0.15
20.75    593    505   3.57  0.15
21.00    602    513   3.58  0.15
