# G-mag  NO.all  NO.cln  X0  rate
17.50    468    296   3.51  0.37
17.75    594    388   3.57  0.35
18.00    739    505   3.63  0.32
18.25    917    653   3.69  0.29
18.50   1134    838   3.75  0.26
18.75   1328   1006   3.79  0.24
19.00   1547   1201   3.83  0.22
19.25   1774   1404   3.87  0.21
19.50   1998   1604   3.90  0.20
19.75   2194   1787   3.92  0.19
20.00   2372   1949   3.94  0.18
20.25   2544   2107   3.96  0.17
20.50   2688   2248   3.97  0.16
20.75   2793   2344   3.98  0.16
21.00   2820   2367   3.99  0.16
