# G-mag  NO.all  NO.cln  X0  rate
17.50    112     52   3.07  0.54
17.75    142     74   3.15  0.48
18.00    177     95   3.22  0.46
18.25    218    121   3.28  0.44
18.50    256    143   3.33  0.44
18.75    291    171   3.37  0.41
19.00    317    194   3.39  0.39
19.25    360    232   3.43  0.36
19.50    401    271   3.46  0.32
19.75    433    299   3.48  0.31
20.00    457    321   3.50  0.30
20.25    478    339   3.51  0.29
20.50    487    347   3.52  0.29
20.75    498    358   3.52  0.28
21.00    505    365   3.53  0.28
