#  Radio source position difference from decimation tests (Clean sample)
#  Columns  Units   Meaning
#     1      -      IVS designation
#     2     deg     Right ascension(odd session)
#     3     deg     Declination(odd session)
#     4     mas     Difference of RA*cos(Dec)
#     5     mas     Difference of Declination
#     6     mas     Formal uncertainty of difference in RA*cos(Dec)
#     7     mas     Formal uncertainty of difference in declination
#     8     mas     Minimum semi-major axis of error ellipse
#     9     mas     Angular separation
#    10      -      Normalized separation
#    10      -      Mean number of sessions in two solutions
#    11      -      Mean number of observations in two solutions
#  Created date: 27/04/2020 by decimation_solution_xmatch.ipynb.
#  Original data: ../data/deci-test{1,2}b.cat
 0002-478    1.1485645333  -47.6054455556     -0.0131     +0.0554      0.0800      0.1377      0.0993      0.0570    0.51      30       217 
 0003+380    1.4882307968  +38.3375413482     -0.0102     -0.2077      0.0568      0.0657      0.0421      0.2080    3.20      14       904 
 0003-066    1.5578870351   -6.3931486960     +0.0082     +0.0101      0.0100      0.0153      0.0107      0.0130    1.05     895     21865 
 0010+405    3.3797091770  +40.8603178203     +0.0204     +0.0187      0.0266      0.0358      0.0255      0.0277    0.99      39      2008 
 0013-005    4.0462023009   -0.2534570678     +0.0151     -0.0536      0.0553      0.0781      0.0531      0.0557    0.71      48       694 
 0016+731    4.9407765511  +73.4583382259     -0.0030     +0.0094      0.0074      0.0074      0.0052      0.0098    1.33     438     60235 
 0017+200    4.9077270637  +20.3626790670     -0.0186     +0.0180      0.0112      0.0110      0.0076      0.0259    2.38     141     19810 
 0019+058    5.6351717182   +6.1345191580     -0.0333     +0.0364      0.0219      0.0259      0.0178      0.0493    2.04     185      3860 
 0021+243    6.1138772451  +24.6572860038     -0.1626     +0.3481      0.2424      0.3063      0.1934      0.3842    1.25       7        99 
 0025+197    7.1242436754  +20.0074288887     -0.0399     +0.0000      0.0343      0.0461      0.0319      0.0399    1.16      57      1521 
 0026+346    7.3093436357  +34.9422908638     +1.1595     +0.5807      0.5989      0.4885      0.2230      1.2967    2.04       9       145 
 0035+413    9.6035149540  +41.6183333995     +0.0797     -0.1397      0.0388      0.0484      0.0326      0.1608    3.56      28      1154 
 0035-252    9.5613979270  -24.9839542311     -0.0091     +0.0479      0.0372      0.0470      0.0333      0.0487    1.04      78      1556 
 0039+230   10.5189382127  +23.3336283491     -0.0202     -0.0590      0.0632      0.0985      0.0593      0.0624    0.70      17       591 
 0047+023   12.4301497590   +2.6177162570     +0.0309     -0.0767      0.0723      0.1408      0.0810      0.0827    0.64      18       760 
 0047-579   12.4978043771  -57.6409277589     +0.2746     +0.1220      0.0929      0.1226      0.0725      0.3005    3.00      22       117 
 0048-097   12.6721557729   -9.4847806407     +0.0043     +0.0245      0.0098      0.0139      0.0097      0.0248    1.83    1056     24489 
