#  Radio source position difference from decimation tests (Clean sample)
#  Columns  Units   Meaning
#     1      -      IVS designation
#     2     deg     Right ascension(odd session)
#     3     deg     Declination(odd session)
#     4     mas     Difference of RA*cos(Dec)
#     5     mas     Difference of Declination
#     6     mas     Formal uncertainty of difference in RA*cos(Dec)
#     7     mas     Formal uncertainty of difference in declination
#     8     mas     Minimum semi-major axis of error ellipse
#     9     mas     Angular separation
#    10      -      Normalized separation
#    10      -      Mean number of sessions in two solutions
#    11      -      Mean number of observations in two solutions
#  Created date: 27/04/2020 by decimation_solution_xmatch.ipynb.
#  Original data: ../data/deci-test{1,2}b.cat
 0000+212    0.8306250613  +21.4956965931     +0.0610     -0.1685      0.7846      1.6424      0.7883      0.1792    0.10       1        33 
 0000-160    0.8636005966  -15.7848485631     -0.4178     +1.6452      0.2767      0.6665      0.4165      1.6974    2.77       1        88 
 0000-197    0.8278126268  -19.4562099169     -0.1062     -0.6048      0.3641      0.7517      0.4185      0.6141    0.81       2       116 
 0000-199    0.8164559038  -19.6973338419     +0.6443     +0.0623      0.2343      0.5600      0.3324      0.6473    2.78       1        91 
 0001+459    1.0671985464  +46.2549917041     +0.0951     -0.6401      0.2250      0.4316      0.1059      0.6471    1.59       1       136 
 0001-120    1.0204791840  -11.8162183663     +0.2837     -0.5159      0.9347      1.8961      0.1175      0.5887    0.55       2       122 
 0002+051    1.3342312733   +5.4030003512     +0.4028     -2.2644      1.4143      1.5423      0.3873      2.3000    1.48       1        48 
 0002+200    1.1489929660  +20.3284215101     +0.6795     -0.2999      0.3266      0.3699      0.1999      0.7428    2.30       1        50 
 0002+541    1.2681806270  +54.4735901331     -0.3052     -0.0108      0.2726      0.2358      0.0880      0.3054    1.17       2       134 
 0002-170    1.3247241525  -16.8012995802     +0.0493     -0.4684      0.2139      0.5097      0.2628      0.4709    0.96       1       135 
 0002-350    1.2746879577  -34.7637931507     +0.4134     +1.5660      0.2955      0.8075      0.5324      1.6197    2.17       1        70 
 0002-478    1.1485645333  -47.6054455556     -0.0131     +0.0554      0.0800      0.1377      0.0993      0.0570    0.51      30       217 
 0003+158    1.4968240630  +16.1636171226     +0.1618     -0.0914      0.2113      0.3655      0.1773      0.1859    0.77       1        98 
 0003+340    1.5307606957  +34.3723349737     -0.0027     +0.0403      0.1754      0.4163      0.2768      0.0404    0.10       1       111 
 0003+380    1.4882307968  +38.3375413482     -0.0102     -0.2077      0.0568      0.0657      0.0421      0.2080    3.20      14       904 
 0003-066    1.5578870351   -6.3931486960     +0.0082     +0.0101      0.0100      0.0153      0.0107      0.0130    1.05     895     21865 
 0003-302    1.5046800918  -29.9305828911     -1.4507     -1.4454      1.8220      3.9516      0.9144      2.0479    0.99       1        34 
 0005+114    2.0034929946  +11.7335483518     +0.8153     -0.7888      0.6442      0.8324      0.2028      1.1344    1.47       1       122 
 0005+568    1.9519526362  +57.1028997869     +0.1617     +0.4918      0.2556      0.2221      0.0979      0.5177    2.55       1        78 
 0005+683    2.1394703374  +68.6227913289     +1.1500     -0.0367      0.5355      0.5455      0.3940      1.1506    2.17       2        51 
 0005-239    2.0015400574  -23.6550419566     -0.0709     -1.6841      0.3238      0.5723      0.3911      1.6856    3.22       3        70 
