# G-mag  NO.all  NO.cln  X0  rate
17.50    165    148   3.20  0.10
17.75    200    181   3.26  0.10
18.00    229    209   3.30  0.09
18.25    270    248   3.35  0.08
18.50    305    277   3.38  0.09
18.75    332    304   3.41  0.08
19.00    359    330   3.43  0.08
19.25    391    357   3.46  0.09
19.50    410    374   3.47  0.09
19.75    433    395   3.48  0.09
20.00    452    414   3.50  0.08
20.25    464    423   3.50  0.09
20.50    477    435   3.51  0.09
20.75    487    444   3.52  0.09
21.00    490    447   3.52  0.09
