#-----------------------------------------------------------------------------------------------------------
#                  R.A. (o)          Dec. (o)        Err. (mas)     Corr. Del.       IERS      IVS
#-----------------------------------------------------------------------------------------------------------
44343.089  305.527841204750   61.616334629306    2.0270    2.0940   0.008   28   2021+614 2021+614 80APR13X 
47165.332  305.527839458458   61.616334145639    1.2383    1.2481   0.247   16   2021+614 2021+614 88JAN04XA
47363.473  305.527842626917   61.616334582361    5.3463    3.3845   0.062   26   2021+614 2021+614 88JUL21XW
47761.164  305.527841073750   61.616334854389    1.0100    0.5778   0.170   18   2021+614 2021+614 89AUG22X 
48161.778  305.527840248333   61.616334733917    0.4670    0.4332   0.150    5   2021+614 2021+614 90SEP27D 
48179.244  305.527841141000   61.616333948944    1.8824    2.4058  -0.363   10   2021+614 2021+614 90OCT14XN
48188.346  305.527840711833   61.616334812278    2.1578    2.7735  -0.281   12   2021+614 2021+614 90OCT23XN
48613.475  305.527840153292   61.616334757944    0.8527    0.4362   0.326    3   2021+614 2021+614 91DEC22D 
48702.373  305.527840699125   61.616334860389    1.2270    0.4864   0.074    4   2021+614 2021+614 92MAR20D 
48709.211  305.527839901417   61.616334741111    1.1642    0.5091   0.434    3   2021+614 2021+614 92MAR27D 
48725.556  305.527840470292   61.616335059250    1.0245    0.5276   0.262    3   2021+614 2021+614 92APR13D 
48732.408  305.527839912292   61.616334424444    0.7333    0.5084  -0.112    3   2021+614 2021+614 92APR19D 
48754.257  305.527840348125   61.616334931583    1.9076    1.2476   0.644   17   2021+614 2021+614 92MAY11XN
49121.421  305.527839581667   61.616334547611    1.8329    0.9343   0.535   29   2021+614 2021+614 93MAY13XN
49403.500  305.527840454000   61.616334972556    0.7280    0.6841   0.032    3   2021+614 2021+614 94FEB20D 
49516.778  305.527840469583   61.616334986639    0.8614    0.3950   0.234    3   2021+614 2021+614 94JUN13D 
49519.335  305.527840105250   61.616334600833    0.7092    0.5071  -0.091    9   2021+614 2021+614 94JUN15XO
49541.751  305.527840615333   61.616334667028    0.2898    0.1320  -0.147  309   2021+614 2021+614 94JUL08XV
49541.751  305.527840519375   61.616334495139    0.4330    0.1777  -0.243  494   2021+614 2021+614 94JUL08XW
49576.417  305.527841064750   61.616334652500    1.2645    0.8398   0.156   11   2021+614 2021+614 94AUG11XN
49576.501  305.527841293750   61.616335220750    0.7398    0.6203   0.159   75   2021+614 2021+614 94AUG12XV
49599.825  305.527840092500   61.616333885056    0.9830    0.6457   0.003    5   2021+614 2021+614 94SEP04D 
49826.960  305.527840662792   61.616335061667    0.6243    0.2764   0.009  105   2021+614 2021+614 95APR19XV
50211.250  305.527839775083   61.616334244389    0.9175    0.6104   0.293   17   2021+614 2021+614 96MAY07XE
50260.252  305.527840586958   61.616334722417    0.3803    0.2100   0.106   26   2021+614 2021+614 96JUN25XE
51533.086  305.527840459708   61.616334638833    0.1212    0.1174  -0.172 1418   2021+614 2021+614 99DEC20XA
51814.252  305.527840641750   61.616334773361    0.6227    0.3068  -0.272   13   2021+614 2021+614 00SEP26XE
52340.245  305.527840744042   61.616334707333    0.1840    0.1328   0.304  454   2021+614 2021+614 02MAR06XA
53276.205  305.527840439250   61.616334574194    0.5034    0.3280   0.109   14   2021+614 2021+614 04SEP27XA
53341.249  305.527840568750   61.616334747694    0.1733    0.1059  -0.043  163   2021+614 2021+614 04DEC01XA
53402.206  305.527840676917   61.616334521583    0.3393    0.3053   0.152   13   2021+614 2021+614 05JAN31XA
53689.216  305.527840594292   61.616334486639    0.6865    0.2690   0.042   20   2021+614 2021+614 05NOV14XA
53753.204  305.527840891583   61.616334650583    0.5718    0.3707   0.108   24   2021+614 2021+614 06JAN17XA
54032.207  305.527840626792   61.616334860222    0.4429    0.3737   0.240   44   2021+614 2021+614 06OCT23XA
54097.207  305.527840725083   61.616334514417    0.6645    0.3165   0.233   15   2021+614 2021+614 06DEC27XA
54488.207  305.527840575833   61.616334725722    0.8546    0.3068  -0.388   14   2021+614 2021+614 08JAN22XA
54501.206  305.527840871000   61.616334824667    0.3842    0.2255   0.092   21   2021+614 2021+614 08FEB04XA
54844.205  305.527840585917   61.616334592889    0.6002    0.2249   0.401   36   2021+614 2021+614 09JAN12XA
54845.228  305.527840820292   61.616334874444    0.5210    0.3270  -0.013   13   2021+614 2021+614 09JAN13XA
55168.252  305.527846033250   61.616330711389    0.3169    0.1828  -0.607  200   2021+614 2021+614 09DEC02XA
55257.208  305.527841204750   61.616334642528    0.5903    0.2540  -0.221   25   2021+614 2021+614 10MAR01XA
57102.499  305.527840018958   61.616335059694   17.8289    2.2750   0.799    4   2021+614 2021+614 15MAR21XA
57291.501  305.527819262125   61.616340333500   62.7642   14.5269  -0.769   14   2021+614 2021+614 15SEP26XA
