1637+826      0.4301        5.3680     -0.1808     -0.3902      4.0071      3.5719    248.1332     82.5379
1726+455      1.3607        1.9636      1.0586      0.8548      1.2099      1.5466    261.8652     45.5110
1849+670      1.7216        2.7782      1.6288      0.5576      1.9232      2.0049    282.3170     67.0949
2131-021      1.9875        9.5711      0.1957      1.9778      3.6755      8.8372    323.5430     -1.8881
1823+568      2.0613        3.2542     -1.9515     -0.6639      2.0495      2.5278    276.0295     56.8504
0749+540      2.1966        1.4727      1.8797      1.1365      0.9436      1.1307    118.2558     53.8832
1803+784      3.0382        0.7375     -3.0331     -0.1747      0.4995      0.5425    270.1903     78.4678
0735+178      3.1172        6.0693     -2.6877      1.5790      3.2619      5.1183    114.5308     17.7053
0148+274      3.1617       20.6283     -1.9126     -2.5176     11.6874     16.9980     27.8631     27.7449
2037+511      3.1979        1.3034     -2.9761     -1.1701      0.7978      1.0307    309.6543     51.3202
1638+398      3.4032        1.3008      2.6195     -2.1726      0.7667      1.0508    250.1235     39.7795
0954+658      3.4582        2.7806      1.5024     -3.1148      1.8509      2.0750    149.6969     65.5652
1622-253      3.5802        2.0837      1.2682     -3.3481      1.0453      1.8025    246.4454    -25.4606
0836+710      3.6968       11.0050     -1.4398     -3.4050      7.8045      7.7589    130.3515     70.8950
0059+581      3.7211        0.7953     -1.7652     -3.2757      0.4989      0.6193     15.6907     58.4031
1418+546      4.0359        2.1294      3.7519      1.4872      1.3830      1.6192    214.9442     54.3874
0111+021      4.2432        3.4651      3.3136     -2.6505      1.9118      2.8900     18.4298      2.3715
0552+398      4.3520        0.6889      4.1991     -1.1437      0.4049      0.5573     88.8784     39.8137
1424-418      4.4255        2.5754     -2.2516     -3.8098      1.4397      2.1354    216.9846    -42.1054
1738+499      4.5227        9.2022      3.8736     -2.3345      5.3127      7.5137    264.8641     49.9176
1730-130      4.6195        1.9907      3.4061      3.1206      1.0704      1.6783    263.2613    -13.0804
0955+476      4.6472        0.8927      4.1104     -2.1682      0.5585      0.6964    149.5820     47.4188
1357+769      4.8693        1.0973      4.1988     -2.4657      0.7514      0.7997    209.4807     76.7225
1417+385      4.8973        2.5837      2.8210      4.0031      1.4697      2.1250    214.9442     38.3635
2150+173      4.9680        9.4006     -1.3214      4.7890      4.8953      8.0254    328.1034     17.5772
1128+385      5.5980        1.5088      3.7765      4.1322      0.8454      1.2498    172.7220     38.2552
0851+202      5.6848        0.7916      5.6742      0.3475      0.3780      0.6956    133.7036     20.1085
1958-179      5.6976        2.1292      3.5671     -4.4428      1.0587      1.8473    300.2379    -17.8160
