0002-478 18 14 0.7744 0.5261 0.7309 0.3801 -47.6054 1.5868 2.4728 1.5318  4
0003+380 14 10 1.1673 0.7368 0.8407 0.7587 38.3375 12.3902 9.6765 12.0862  3
0003-066 27 25 1.5482 0.3226 0.4388 0.0579 -6.3931 0.6519 0.7832 0.1490  2
0007+106 17 14 2.5811 0.3302 1.1096 0.2471 10.9749 0.9204 1.2732 0.9842 10
0007+171 15 11 2.5207 1.3091 1.2555 0.9926 17.4052 0.9899 1.7847 0.8111  4
0008-264 25 21 2.4719 0.7115 3.8356 0.2209 -26.2093 0.7806 3.3515 0.4840  2
0010+405 19 16 2.5561 5.4159 1.7358 3.0051 40.8603 12.2097 3.5753 7.1807  6
0013-005 15 12 4.0462 0.3272 2.4065 0.1883 -0.2535 0.7825 2.1476 0.5623 10
0016+731 27 24 1.4067 0.4548 0.4895 0.1592 73.4583 0.5556 0.7642 0.2483  8
0017+200  6  2 4.6010 0.3459 0.0467 0.2199 20.3627 0.2999 0.0743 0.1649  8
0019+058 18 14 5.6029 0.3464 0.1623 0.1118 6.1345 6.2612 1.5595 2.2662  6
0025+197  9  6 6.6943 0.5581 1.1605 0.4079 20.0074 0.7358 1.7699 0.5536  7
0035+413 16 11 7.1794 0.3401 0.2795 0.2302 41.6183 0.5393 0.4105 0.4562  3
0035-252 10  8 8.6667 0.3948 0.1653 0.1387 -24.9840 2.9090 1.1112 0.7473 10
0039+230 14  8 9.6586 0.6173 0.7114 0.4384 23.3336 0.7036 0.7503 0.4652  2
0046+316 11  9 10.3480 0.2712 0.2050 0.1838 31.9570 0.6452 0.6062 0.4760  4
0047+023 10  8 12.4172 5.0323 1.6997 0.9151 2.6177 16.5302 8.2182 8.7088 12
0047-579 14 10 6.6891 0.7641 1.7614 0.5240 -57.6409 1.0714 1.8029 0.7830  6
0048-097 31 29 12.4989 0.3770 11.5016 0.0945 -9.4848 0.6577 17.9599 0.1710  6
0048-427 14 13 9.4381 0.7259 0.3559 0.3868 -42.4426 1.1912 0.6333 0.7197  1
0054+161 10  6 13.6500 0.2800 0.1464 0.1150 16.4204 0.3533 0.2801 0.0999  8
0055+300  6  4 12.4726 2.0902 0.5603 0.4336 30.3524 0.9490 0.4218 0.4740  4
0055-059  9  7 14.4502 0.7277 0.3537 0.4340 -5.6645 8.0285 1.7990 2.1445 11
0059+581 24 23 8.2210 0.3976 0.0740 0.0649 58.4031 1.6663 0.1301 0.1037  1
0104-408 28 25 12.6759 169.1574 0.6891 109.3559 -40.5722 100.7756 1.3586 54.9580  8
