0002-478 17 13 0.7744 0.5591 0.8005 0.4141 -47.6054 1.4412 2.6532 1.5266  4
0003+380 14 10 1.1673 0.7398 0.8345 0.7528 38.3375 12.3926 9.6827 12.0932  3
0003-066 27 25 1.5482 0.3354 0.4349 0.0584 -6.3931 0.6706 0.7919 0.1415  2
0007+106 16 13 2.5811 0.3259 1.1255 0.2368 10.9749 0.9221 1.1320 0.9835 10
0007+171 15 11 2.5207 1.3114 1.2897 0.9984 17.4052 1.0149 1.7562 0.8466  4
0008-264 25 21 2.4719 0.4981 3.1626 0.2337 -26.2093 0.7570 2.8878 0.4820  2
0010+405 19 16 2.5561 5.5057 1.8710 3.2194 40.8603 12.6085 4.4961 8.6027  6
0013-005 15 12 4.0462 0.3273 2.4005 0.1950 -0.2535 0.7928 2.0714 0.5847 10
0016+731 27 24 1.4067 0.4553 0.4835 0.1604 73.4583 0.5586 0.7646 0.2524  8
0017+200  6  2 4.6010 0.3417 0.0552 0.2556 20.3627 0.2977 0.0793 0.1836  8
0019+058 18 14 5.6029 0.3271 0.1488 0.0835 6.1345 6.5123 1.5772 2.2799  6
0025+197  9  6 6.6943 0.5646 1.1435 0.4083 20.0074 0.7916 1.7272 0.5465  7
0035+413 16 11 7.1794 0.3474 0.4851 0.2448 41.6183 0.5465 0.4376 0.4748  3
0035-252  9  7 8.6667 0.3901 0.1454 0.1383 -24.9840 2.9132 1.0878 0.7116 10
0039+230 14  8 9.6586 0.6196 0.7550 0.4426 23.3336 0.7036 0.7916 0.4647  2
0046+316 11  9 10.3480 0.2700 0.2060 0.1797 31.9570 0.6494 0.6076 0.4754  4
0047+023 10  8 12.4172 5.7484 2.1309 1.0078 2.6177 20.2312 9.5517 9.0761 12
0047-579 14 10 6.6891 0.7723 2.4190 0.5429 -57.6409 1.0707 2.1034 0.8142  6
0048-097 31 29 12.4989 0.3776 13.9138 0.0940 -9.4848 0.6594 23.9611 0.1665  6
0048-427 14 13 9.4381 0.7158 0.3906 0.3967 -42.4426 1.2020 0.6093 0.7086  1
0054+161 10  6 13.6500 0.2854 0.1332 0.1118 16.4204 0.3589 0.2845 0.1024  8
0055+300  6  4 12.4726 2.0943 0.5547 0.4692 30.3524 0.9386 0.4354 0.5456  4
0055-059  9  7 14.4502 0.7204 0.4222 0.4366 -5.6645 8.2476 1.7879 2.2204 11
0059+581 24 23 8.2210 0.4352 0.0733 0.0634 58.4031 1.6888 0.1288 0.1014  1
0104-408 27 25 12.6759 0.8136 0.6830 0.2345 -40.5722 3.7755 1.2999 0.8376  2
0107-610 10  8 8.4391 0.5213 0.7156 0.4043 -60.8301 0.6932 0.4092 0.2291  3
0109+224 23 20 16.6227 4.1676 3.8236 4.2620 22.7441 12.7179 7.4919 10.3070  2
0110+495 15 11 11.8506 0.3203 0.1564 0.1864 49.8067 0.3930 0.1552 0.2008  5
