## This list was generated at 2016-10-26 00:15:28
##format:
##soure  Num_ave    R.A.                 Decl.            
##                mean  Std  AStd WAd | mean  Std  AStd WAd
## Num_ave: Number of one-year average points
## unit: deg for mean while mas for the others
0002-478    7       1.1486       0.5232       0.1487       0.0347     -47.6054       1.3655       1.1532       0.3679
0003+380    3       1.4882       0.7233       0.1569       0.1029      38.3375       0.3332       0.0914       0.0737
0003-066   22       1.5579       0.3068       0.1815       0.0529      -6.3931       0.6777       0.7076       0.1245
0007+106    9       2.6292       0.3247       0.0376       0.0558      10.9749       0.7859       0.3175       0.5197
0007+171    2       2.6416       0.7622       0.4215       0.4215      17.4052       0.9661       0.0323       0.0323
0008-264   11       2.7552       0.4457       0.2334       0.1803     -26.2093       0.8215       0.2999       0.3139
0010+405    8       3.3797       0.1980       0.1141       0.0293      40.8603       0.3834       0.2739       0.0845
0013-005    9       4.0462       0.2975       0.3184       0.0786      -0.2535       0.7581       0.4180       0.5655
0016+731   21       4.9408       0.2694       0.4835       0.0587      73.4583       0.2621       0.7553       0.0633
0017+200    2       4.9077       0.2159       0.4835       0.0000      20.3627       0.2408       0.7553       0.0000
0019+058    9       5.6352       0.3149       0.0585       0.0446       6.1345       0.5439       0.1749       0.0687
0025+197    4       7.1242       0.3771       0.2473       0.1887      20.0074       0.8248       0.1548       0.1668
0035+413    9       9.6035       0.3231       0.1470       0.0376      41.6183       0.5270       0.3030       0.0341
0035-252    6       9.5614       0.3926       0.1390       0.1389     -24.9840       0.6140       0.1664       0.1797
0046+316    3      12.1964       0.2421       0.0333       0.0349      31.9570       0.5924       0.4992       0.2965
0047+023    1      12.4301       0.6697       0.0333       0.0000       2.6177       6.2980       0.4992       0.0000
0047-579    5      12.4978       0.7606       0.1553       0.1684     -57.6409       1.0714       0.2464       0.4683
0048-097   27      12.6722       0.3679       0.1430       0.0530      -9.4848       0.6543       0.3483       0.1109
0048-427   11      12.7896       0.6317       0.2674       0.2751     -42.4426       1.1591       0.6544       0.7793
0054+161    5      14.2304       0.2784       0.1582       0.1175      16.4204       0.4491       0.1623       0.0883
